Fungal_Genus,Bacterial_Genus,Group,Spearman_Rho,P_value,Mean_Fungal_Abundance,Mean_Bacterial_Abundance
g__Pyricularia,g__Subdoligranulum,Basal Diet_Day10,0.766666667,0.021389991,0.056864348,0.014043194
g__Malassezia,g__Lachnoclostridium,Essential oils_Day10,-0.80952381,0.021775794,0.029995582,0.0231741
g__Fusarium,g__Blautia,BMD_Day21,-0.80952381,0.021775794,0.15184477,0.032763245
g__Pyricularia,g__Lachnoclostridium,BMD_Day21,0.80952381,0.021775794,0.093822448,0.040034722
g__Saccharomyces,g__Blautia,BMD_Day21,-0.780720058,0.022214515,0.016714085,0.032763245
g__Zymoseptoria,g__Limosilactobacillus,Basal Diet_Day21,0.780720058,0.022214515,0.039425984,0.025252998
g__Candida,g__Streptococcus,Basal Diet_Day10,0.739830038,0.022680892,0.112888233,0.011233379
g__Candida,g__Streptococcus,BMD_Day1,0.77845707,0.022867334,0.292377796,0.008232814
g__Trichoderma,g__Ligilactobacillus,Essential oils_Day10,-0.77845707,0.022867334,0.024831432,0.012641352
g__Ustilago,g__Blautia,Probiotic_Day10,0.77845707,0.022867334,0.013733262,0.027692116
g__Ustilago,g__Clostridium,Probiotic_Day10,0.77845707,0.022867334,0.013733262,0.02003968
g__Ustilago,g__Massilistercora,Probiotic_Day10,0.77845707,0.022867334,0.013733262,0.013948416
g__Fusarium,g__Lachnoclostridium,Basal Diet_Day21,0.77845707,0.022867334,0.133448325,0.033051254
g__Candida,g__Ligilactobacillus,Essential oils_Day21,0.773703091,0.024277199,0.008178216,0.039494027
g__Cutaneotrichosporon,g__Ligilactobacillus,Essential oils_Day21,0.773703091,0.024277199,0.011898533,0.039494027
g__Pyricularia,g__Clostridium,Basal Diet_Day10,0.75,0.02549052,0.056864348,0.016145402
g__Cutaneotrichosporon,g__Bifidobacterium,BMD_Day21,-0.766480808,0.026520014,0.012709718,0.017263931
g__Zymoseptoria,g__Escherichia,BMD_Day1,-0.763762616,0.027396044,0.005899281,0.740430565
g__Eremothecium,g__Enterococcus,BMD_Day10,-0.763762616,0.027396044,0.005095599,0.483332009
g__Zymoseptoria,g__Lactobacillus,BMD_Day1,0.763762616,0.027396044,0.005899281,0.016386405
g__Zymoseptoria,g__Clostridium,BMD_Day1,0.763762616,0.027396044,0.005899281,0.00371795
g__Saccharomyces,g__Blautia,BMD_Day10,0.763762616,0.027396044,0.003648657,0.011619924
g__Saccharomyces,g__Subdoligranulum,BMD_Day10,0.763762616,0.027396044,0.003648657,0.010534177
g__Saccharomyces,g__Lachnoclostridium,BMD_Day10,0.763762616,0.027396044,0.003648657,0.009312652
g__Saccharomyces,g__Clostridium,BMD_Day10,0.763762616,0.027396044,0.003648657,0.010880368
g__Saccharomyces,g__Massilistercora,BMD_Day10,0.763762616,0.027396044,0.003648657,0.005937909
g__Saccharomyces,g__Flavonifractor,BMD_Day10,0.763762616,0.027396044,0.003648657,0.004619363
g__Eremothecium,g__Ligilactobacillus,BMD_Day10,0.763762616,0.027396044,0.005095599,0.007939981
g__Eremothecium,g__Shigella,BMD_Day10,0.763762616,0.027396044,0.005095599,0.002878161
g__Eremothecium,g__Lactobacillus,Essential oils_Day21,0.763762616,0.027396044,0.015520235,0.167748054
g__Fusarium,g__Streptococcus,Essential oils_Day21,0.785714286,0.027926587,0.118734452,0.003419782
g__Cutaneotrichosporon,g__Ligilactobacillus,BMD_Day10,-0.756322557,0.029884379,0.035653141,0.007939981
g__Cutaneotrichosporon,g__Escherichia,Probiotic_Day21,-0.756322557,0.029884379,0.013133416,0.052272598
g__Cutaneotrichosporon,g__Streptococcus,Probiotic_Day1,0.801783726,0.030099248,0.003645257,0.027466593
g__Candida,g__Streptococcus,Essential oils_Day1,0.754504545,0.030512759,0.405032299,0.018888098
g__Saccharomyces,g__Faecalibacterium,Basal Diet_Day1,-0.70747497,0.033013078,0.058065738,0.001490754
g__Saccharomyces,g__Bifidobacterium,Basal Diet_Day1,-0.70747497,0.033013078,0.058065738,0.000707398
g__Saccharomyces,g__Blautia,Basal Diet_Day1,-0.70747497,0.033013078,0.058065738,0.002397954
g__Saccharomyces,g__Subdoligranulum,Basal Diet_Day1,-0.70747497,0.033013078,0.058065738,0.001212361
g__Saccharomyces,g__Lachnoclostridium,Basal Diet_Day1,-0.70747497,0.033013078,0.058065738,0.002025467
g__Saccharomyces,g__Massilistercora,Basal Diet_Day1,-0.70747497,0.033013078,0.058065738,0.001057774
g__Saccharomyces,g__Flavonifractor,Basal Diet_Day1,-0.70747497,0.033013078,0.058065738,0.001312396
g__Ascochyta,g__Blautia,Probiotic_Day10,0.742528282,0.034855039,0.022394557,0.027692116
g__Ascochyta,g__Massilistercora,Probiotic_Day10,0.742528282,0.034855039,0.022394557,0.013948416
g__Eremothecium,g__Lachnoclostridium,Probiotic_Day21,-0.742528282,0.034855039,0.050449409,0.036599797
g__Aspergillus,g__Streptococcus,BMD_Day1,-0.761904762,0.036755952,0.197800175,0.008232814
g__Pyricularia,g__Shigella,BMD_Day10,-0.761904762,0.036755952,0.054398399,0.002878161
g__Candida,g__Bifidobacterium,Essential oils_Day10,-0.761904762,0.036755952,0.081265684,0.023235908
g__Candida,g__Streptococcus,Essential oils_Day10,0.761904762,0.036755952,0.081265684,0.011863543
g__Aspergillus,g__Escherichia,Essential oils_Day10,-0.761904762,0.036755952,0.142456828,0.073523087
g__Malassezia,g__Streptococcus,Essential oils_Day10,0.761904762,0.036755952,0.029995582,0.011863543
g__Fusarium,g__Ligilactobacillus,Probiotic_Day10,0.761904762,0.036755952,0.068339529,0.023408668
g__Aspergillus,g__Bifidobacterium,Probiotic_Day10,0.761904762,0.036755952,0.121933256,0.011321741
g__Pyricularia,g__Bifidobacterium,BMD_Day21,-0.761904762,0.036755952,0.093822448,0.017263931
g__Pyricularia,g__Massilistercora,BMD_Day21,0.761904762,0.036755952,0.093822448,0.019550457
g__Ascochyta,g__Lachnoclostridium,Basal Diet_Day21,-0.73648538,0.037181523,0.139673913,0.033051254
g__Ascochyta,g__Massilistercora,Basal Diet_Day21,-0.73648538,0.037181523,0.139673913,0.019725862
g__Tetrapisispora,g__Massilistercora,BMD_Day10,0.731925055,0.038998274,0.031912305,0.005937909
g__Cutaneotrichosporon,g__Flavonifractor,Essential oils_Day10,0.73055202,0.039555628,0.06025158,0.014240793
g__Ascochyta,g__Lachnoclostridium,Probiotic_Day10,0.73055202,0.039555628,0.022394557,0.023177368
g__Ustilago,g__Lachnoclostridium,Probiotic_Day10,0.73055202,0.039555628,0.013733262,0.023177368
g__Trichoderma,g__Lactobacillus,Probiotic_Day21,0.73055202,0.039555628,0.026884743,0.216070468
g__Colletotrichum,g__Limosilactobacillus,Basal Diet_Day21,0.73055202,0.039555628,0.045328512,0.025252998
g__Aspergillus,g__Streptococcus,Basal Diet_Day21,-0.73055202,0.039555628,0.137428766,0.003302681
g__Ascochyta,g__Massilistercora,BMD_Day10,0.722968462,0.042721089,0.014426074,0.005937909
g__Ustilago,g__Ligilactobacillus,BMD_Day10,0.722968462,0.042721089,0.022956064,0.007939981
g__Saccharomyces,g__Massilistercora,Probiotic_Day21,0.722968462,0.042721089,0.024558965,0.018905126
g__Talaromyces,g__Faecalibacterium,Probiotic_Day1,0.768407646,0.043565287,0.015117957,0.000443428
